"","Country","Adult population smoking daily","Adult population smoking daily: females","Adult population smoking daily: males","Alcohol consumption among population aged 15 and over","GDP per capita","GDP per hour worked","GDP per Hour Worked","General practitioners as a percentage of total physicians","Gross fixed capital formation","Infant mortality","Labour compensation per unit labour input, total economy","Labour Utilisation","Levels of GDP per capita and labour productivity - Effect of labour utilisation","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per capita","Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked","Life expectancy at birth: men","Life expectancy at birth: total","Life expectancy at birth: women","Medical graduates","Neonatal infant mortality rates ","Number of employees in manufacturing in enterprises with 10-19 persons engaged","Number of employees in manufacturing in enterprises with 20-49 persons engaged","Number of employees in manufacturing in enterprises with 250 or more persons engaged","Number of employees in manufacturing in enterprises with 50-249 persons engaged","Number of employees in manufacturing in enterprises with less than 10 persons engaged","Number of enterprises in manufacturing with 10-19 persons engaged","Number of enterprises in manufacturing with 20-49 persons engaged","Number of enterprises in manufacturing with 250 or more persons engaged","Number of enterprises in manufacturing with 50-249 persons engaged","Number of enterprises in manufacturing with less than 10 persons engaged","Nursing graduates","Obesity rate among the adult population","Obesity rate among the adult population: men","Obesity rate among the adult population: women","Other physicians as a percentage of total physicians","Post-neonatal infant mortality rates ","Practising nurses","Practising physicians","Private expenditure on health","Public expenditure on health","Real GDP growth","Real value added in agriculture, hunting and forestry, fishing","Real value added in construction","Real value added in distributive trade, repairs, transport, accommodation and food service activities, information and communication","Real value added in financial and insurance activities, real estate activities, professional, scientific, technical, administrative and support service activities","Real value added in industry, including energy","Real value added in other services activities","Specialists as a percentage of total physicians","Suicide rates","Total expenditure on health","Unit labour costs, total economy","Value added in agriculture, hunting and forestry, fishing","Value added in construction","Value added in financial intermediation, real estate, renting and business activities","Value added in industry, including energy","Value added in manufacturing","Value added in other services activities","Value added in wholesale and retail trade, repairs, hotels and restaurants, transport"
"18","Iceland",16.1571428571429,15.1,17.2428571428571,7.33333333333333,29344.32049,41.7,1.35,16.2171428571429,-7.09931757757143,1.8,5.48428571428571,-1.75,-35,-27,12,80.7,82.4,84.1,13.21,0.966666667,10.18447,17.01746,80.13398,29.65814,6.676892,14.82233,3.337723,0.8158332,5.916764,74.42638,81.51,21,21,21,21.2685714285714,0.666666667,14.62,3.59571428571429,1.7718,7.2553,0.757174115,3.561560994,-0.436887519,9.428738627,0.80961716,2.332237321,-0.261268118,62.5157142857143,11.75,9.027,4.715,8.252788094,4.407451118,22.59997212,20.98255308,12.6607835,22.912836,20.84439959
"19","India",10.7,2.7,22.65,0.775,1918.62966616667,27.8,-0.15,48.4714285714286,9.7197269395,50.7333333333333,5.9025,0.6,NA,-54,-22,63.9,65.5,67.1,7.91,32.3,0.6280565,7.487897,19.52734,36.95148,23.63037,0,2.4055,0.3305303,4.069883,70.21738,79.0966666666667,4.3,10.2,21,36.89,14.9,0.8925,0.66,2.791926316,1.074998457,8.28153519825,-1.572989637,-7.707459207,6.723893498,-1.0539629,-2.345723565,4.318286928,44.9033333333333,4.7,3.866924773,1.56,8.850519375,3.972752864,30.6730543,14.31152744,15.74164575,23.18399108,18.36058682
"20","Indonesia",24.2,3.55,50.4,0.1,2807.68332042857,19.2,2.15,48.4714285714286,7.1200725924,27.45,5.9025,0.8,NA,-57,-24,67.7,69.3,71.1,16.1016666666667,15.3,5.573044,29.64268,25.09991,17.26295,25.41437,2.967361,1.537648,0.6721956,0.7904339,61.61403,79.7314285714286,24.8,23,27.4,21.2685714285714,9.5,0.8,0.1975,1.754244653,0.963975562,5.708034565,2.862972348,6.979461479,10.3209344,5.653283356,4.264867918,6.010781068,49.72,20.34,2.718220215,2.79428571428571,15.33794405,10.29076628,7.205273142,36.75531474,26.7183194,10.19287463,20.21782716
"21","Ireland",29,27,31,12.1666666666667,33052.2553366667,71.2,2.75,72.1557142857143,-8.81273657428571,3.48333333333333,2.00428571428571,-3.6,11,-16,-24,78.3,80.6,82.8,16.1016666666667,2.5,7.737151,12.5474,43.33958,30.01876,6.357104,5.300186,2.609403,1.450398,0.2165752,90.42344,34.9116666666667,23,23,23,0,1,8.02666666666667,2.735,2.9416,5.9625,0.456157130285714,12.35765171,8.09826776,10.3209344,-0.904138292,-3.740733443,-0.742775313,27.8442857142857,11.04,8.9042,5.72857142857143,1.590980343,1.559686795,25.35647033,26.33616719,20.978647,19.92482915,25.23186619
"22","Israel",19.25,12.55,26.375,2.35,20579.6108111111,33.4,1.1,20.3514285714286,8.29338174071429,3.78333333333333,2.86833333333333,0.7,-48,-42,11,79.9,81.8,83.6,4.325,2.2,7.30746,12.49898,42.13956,28.28998,9.76402,12.137,9.382671,1.173582,6.478654,70.82809,12.8671428571429,15.7,16.1,15.4,17.5285714285714,1.3,4.91,3.325,3.0316,4.7017,4.23986508557143,3.919743218,9.516706501,4.147025888,4.906372922,2.24816859,3.481907009,62.1171428571429,6.12,7.7333,2.02333333333333,1.870326185,5.684357161,36.28074782,15.19170517,10.6500308571429,24.05654975,16.9163139
"23","Italy",22.6857142857143,16.8142857142857,29,7.475,25469.7283477778,46.7,-0.15,24.55,-2.87922558742857,3.54,2.00428571428571,-1.1,-27,-36,-12,80.1,82.7,85.3,11.0866666666667,2.2,14.44212,15.47461,25.09991,21.353,23.63037,10.541,5.011798,0.3305303,2.139963,81.97672,17.2283333333333,10,10.7,9.4,19.1783333333333,1.2,9.638,3.89,2.0445,7.1811,-0.443044602142857,-4.440692386,-5.833913067,-2.937101894,-0.87824613,-3.144088933,-1.263282349,75.45,5.76,9.2256,2.03857142857143,2.008055033,5.870814037,28.3060431,18.36490743,16.9161935714286,20.62046968,24.82971072
"24","Japan",22.1166666666667,9.85,36.4833333333333,7.51666666666667,26015.14237,40.1,1.1,42.962,-1.08987189642857,2.46666666666667,-0.385,-0.75,-37,-32,9,79.4,82.7,85.9,5.93,1.1,22.16508,9.594217,20.4728,25.96637,21.80154,17.61175,3.210391,3.242737,0.3427898,75.59233,37.4742857142857,4.1,4.6,3.6,8.55333333333333,1.2,9.56,2.15,1.7165,7.8725,0.479263350571429,2.145090885,0.932599553,0.169396063,0.192660125,-3.740733443,0.928442488,75.1683333333333,21.6333333333333,9.589,1.53857142857143,1.163629127,5.647117905,16.9921923,20.49650995,19.3739906666667,31.0919021,24.60864862
"25","Korea",24.4,6.02,43,9.13333333333333,21184.4475955556,28.9,3.6,28.3085714285714,1.104953385,3.43333333333333,4.77428571428571,-0.7,-55,-40,32,77.7,81.1,84.5,8.53714285714286,1.7,14.44212,17.01746,29.50081,30.01876,20.14889,12.84801,1.537648,0.234259,0.9023808,84.4777,79.7314285714286,4.3,4,4.6,0,1.3,4.44571428571429,1.90142857142857,3.2914,4.0779,3.564125923,-0.609189172,-1.582813182,2.482987369,2.096324565,2.25789962,2.924612016,71.6914285714286,30.75,7.3692,0.99,2.639491107,5.83454606,19.11433353,33.84114169,28.9532298571429,19.73114614,18.83933877
"26","Luxembourg",19,16.8571428571429,21.4285714285714,16.075,65354.9159733333,82.1,-1.05,29.7614285714286,3.301962878,2.71666666666667,3.18428571428571,0.15,28,71,33,78.5,81.1,83.6,13.21,2.133333333,6.739634,7.713061,47.22631,36.95148,25.41437,11.34122,11.04537,2.662722,9.270217,65.68047,18.308,23.5,23.5,23.5,0,1.266666667,11.632,2.70666666666667,1.0674,5.6288,1.43770773385714,-1.737451737,3.582806998,4.686866722,-0.740956471,6.25181037,1.877621418,70.2371428571429,11.35,6.6464,4.63142857142857,0.341604815,6.186582782,44.77830783,6.743705398,6.64253217142857,17.75565117,24.19440798
"27","Mexico",19.45,9.7,30.7,5.375,12133.6202011111,19.2,0.3,35.6683333333333,3.48758316585714,14.9,5.9025,0.8,-70,-65,18,71.2,74.2,77.2,11.53,8.6,9.347226,0,49.34533,15.89308,25.41437,0,4.279584,0.0397518,0.0729691,93.72974,7.99166666666667,32.4,32.4,32.4,29.212,5,2.45166666666667,2.04,3.255,2.9232,2.38116913042857,-1.572989637,4.593679395,6.56225885,4.883509724,3.763648321,0.725696334,64.3316666666667,4.7,6.1782,4.715,3.395066942,6.564832627,18.86961713,29.57720055,20.978647,13.46179357,28.13148915
